# moID,sdss_run,sdss_col,sdss_field,sdss_obj,rowc,colc,mjd,ra,dec,lambda,beta,phi,vmu,vmu_err,vnu,vnu_err,vlambda,vbeta,mag_u,err_u,mag_g,err_g,mag_r,err_r,mag_i,err_i,mag_z,err_z,mag_a,err_a,mag_V,mag_B,ast_flag,ast_num,ast_designation,ast_det_count,ast_det_total,ast_flags,ra_comp,dec_comp,mag_comp,r_helio,r_geo,phase,cat_id,H,G,Arc,Epoch,a,e,i,asc_node,arg_peri,M,PEcat_id,aprime,eprime,sin_iprime
b's057af',1033,2,142,212,969.58,849.955,51464.22604,338.338114,-0.538064,339.775023,7.944198,-39.662952,-0.056,0.0027,-0.1013,0.0024,-0.0906,-0.0731,20.04,0.04,18.51,0.02,18.0,0.02,17.860064,0.02,17.814072,0.02,-0.052991502,0.02,18.2,18.92,1,19649,b'1999_RQ104',1,2,0,338.338098,-0.538094,18.42,2.943,2.11,12.68,b'ASTORB_20041008',13.7,0.15,3625.0,53300.5,3.1163396,0.06035585,10.252119,205.500118,147.537118,327.858129,b'ASTDYS_N_20041008',3.11717,0.0293,0.1852
b's057ac',1033,2,145,217,248.728,533.746,51464.22707,338.70791,-0.572799,340.108166,7.773806,-39.330822,-0.095,0.0029,-0.0618,0.0032,-0.1122,-0.0218,22.35,0.26,20.38,0.03,19.6,0.02,19.36411,0.03,19.62368,0.07,0.22911884,0.03,19.92,20.92,1,0,b'2000_YS51',1,2,0,338.707858,-0.572723,19.26,2.651,1.807,14.0,b'ASTORB_20041008',15.06,0.15,1502.0,53300.5,2.46782141,0.08480561,5.630877,283.750319,222.524397,319.225049,b'ASTDYS_U_20041008',2.46855,0.1111,0.1143
b's057aa',1033,2,146,266,1083.77,224.33,51464.22774,338.949501,-0.606803,340.321382,7.651847,-39.118269,-0.0401,0.0034,-0.0568,0.0037,-0.0589,-0.0376,23.39,0.62,20.51,0.03,19.85,0.02,19.58848,0.02,19.697392,0.08,0.13672341,0.03,20.12,21.0,1,0,b'2000_YJ22',1,1,0,338.949396,-0.606752,19.38,2.181,1.319,17.01,b'ASTORB_20041008',16.18,0.15,1503.0,53300.5,2.44633384,0.14196472,4.629579,269.907883,42.354917,147.101891,b'ASTDYS_U_20041008',2.44732,0.1152,0.0963
b's057d0',1033,2,160,100,85.902,538.918,51464.23324,340.935551,-0.57185,342.189343,6.936153,-37.255751,-0.0313,0.0032,-0.0472,0.0032,-0.0472,-0.0318,21.07,0.12,19.34,0.03,18.71,0.02,18.469318,0.03,18.593296,0.04,0.10083837,0.03,18.97,19.81,1,0,b'1999_RO70',1,1,0,340.935457,-0.57183,18.95,2.072,1.191,17.18,b'ASTORB_20041008',16.08,0.15,1449.0,53300.5,2.57842266,0.21187875,4.046053,278.959776,54.138537,93.875505,b'ASTDYS_U_20041008',2.57866,0.1786,0.0882
b's057cf',1033,2,162,308,1131.53,1627.69,51464.23438,341.349895,-0.451997,342.621315,6.889949,-36.824916,-0.1162,0.0042,-0.0862,0.004,-0.1412,-0.0356,21.91,0.25,20.61,0.03,20.19,0.03,19.960703,0.04,19.84634,0.09,-0.10366193,0.04,20.35,20.98,1,0,b'2001_AP15',1,2,0,341.349839,-0.451956,19.77,2.723,1.862,12.86,b'ASTORB_20041008',15.49,0.15,1445.0,53300.5,2.55551848,0.17655115,4.945252,247.43363,228.789727,340.472868,b'ASTDYS_U_20041008',2.55323,0.2032,0.1038
b's057e1',1033,2,165,450,516.141,1736.5,51464.23544,341.731271,-0.440018,342.981174,6.756111,-36.466103,-0.127,0.0042,-0.1056,0.0042,-0.1588,-0.0493,22.38,0.72,20.79,0.04,20.23,0.04,20.086136,0.04,20.008585,0.11,-0.007944189,0.04,20.46,21.23,1,0,b'2003_UJ173',1,2,0,341.731212,-0.440005,20.0,2.364,1.49,14.72,b'ASTORB_20041008',16.44,0.15,4042.0,53300.5,2.38421406,0.23769303,4.887324,237.909492,221.553797,56.986763,b'ASTDYS_U_20041008',2.38433,0.256,0.1006
b's057c9',1033,2,172,168,1186.4,204.584,51464.23855,342.852875,-0.608377,343.959999,6.172768,-35.490353,-0.0833,0.0032,-0.1056,0.0027,-0.118,-0.0657,20.46,0.07,18.79,0.02,18.2,0.02,18.016287,0.02,17.969143,0.03,0.042430203,0.02,18.44,19.25,1,21337,b'1997_BN9',1,1,0,342.853037,-0.608324,18.57,2.843,1.974,11.9,b'ASTORB_20041008',14.1,0.15,2801.0,53300.5,2.97433822,0.0809515,9.667432,201.716818,213.311139,301.143974,b'ASTDYS_N_20041008',2.97453,0.0624,0.174
b's05838',1033,2,177,123,523.491,759.485,51464.24042,343.528414,-0.547285,344.611062,5.970535,-34.841141,-0.126,0.0037,-0.0125,0.0032,-0.1218,0.0368,20.44,0.07,18.89,0.02,18.41,0.01,18.246288,0.01,18.314356,0.03,-0.06626582,0.02,18.6,19.29,1,33779,b'1999_RG165',1,2,0,343.528432,-0.547335,18.43,3.202,2.335,10.37,b'ASTORB_20041008',13.4,0.15,5462.0,53300.5,3.12391037,0.13221404,15.025716,337.711081,271.993633,57.826099,b'ASTDYS_N_20041008',3.11684,0.1382,0.2782
b's05830',1033,2,179,158,1012.07,1725.01,51464.2414,343.881519,-0.441021,344.979882,5.933118,-34.47329,-0.1186,0.0037,-0.0366,0.0034,-0.1242,0.0118,20.24,0.07,18.72,0.03,18.29,0.02,18.126335,0.02,18.087955,0.03,-0.112795465,0.03,18.46,19.1,1,0,b'1999_RN169',1,1,0,343.881457,-0.440972,18.18,1.975,1.072,16.82,b'ASTORB_20041008',15.66,0.15,1649.0,53300.5,2.3509732,0.21607624,4.283757,312.970197,100.618597,107.931465,b'ASTDYS_U_20041008',2.35003,0.2034,0.089
b's05823',1033,2,181,195,758.651,219.429,51464.24215,344.153068,-0.60656,345.167896,5.675924,-34.28602,-0.0997,0.0037,-0.0759,0.0037,-0.1218,-0.0317,19.78,0.04,18.13,0.02,17.61,0.02,17.425804,0.02,17.344584,0.03,-0.027334262,0.02,17.82,18.55,1,11883,b'1990_RD5',1,2,0,344.152979,-0.606582,17.58,2.641,1.759,12.43,b'ASTORB_20041008',13.5,0.15,5094.0,53300.5,2.73591912,0.05353792,4.189797,241.849532,166.202829,353.950391,b'ASTDYS_N_20041008',2.73587,0.0375,0.0895
